customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
71,James Burgess,myerstheodore@example.net,Canada,2021-06-19,Standard,85.82
72,Ashley Perkins,kristina53@example.net,Netherlands,2022-06-01,Basic,31.10
73,Carrie Maxwell,dennis58@example.com,Germany,2026-08-10,Standard,43.28
74,Chad Baldwin,epollard@example.net,France,2026-04-10,Standard,41.79
75,Stacey Stewart,mjohnson@example.org,Brazil,2020-08-13,Standard,51.04
76,Matthew Mitchell,zachary87@example.com,Germany,2025-01-15,Premium,29.62
77,Jessica Ross,glennmartin@example.org,Brazil,2021-10-02,Basic,67.99
78,Kathleen Jimenez,ykline@example.com,France,2020-10-11,Basic,95.15
79,Samantha Gardner,laurie61@example.com,Netherlands,2026-08-05,Standard,105.25
80,Mitchell Jackson,curtis54@example.com,France,2022-02-08,Standard,74.79
81,Heather Bolton,cbell@example.net,Brazil,2026-02-14,Basic,71.37
82,Heidi Owen,danielle01@example.net,Brazil,2023-06-16,Standard,98.04
83,Jessica Martinez,stephaniethomas@example.net,India,2023-10-21,Standard,59.44
84,Amanda Hernandez,kimberlydiaz@example.com,Germany,2023-08-29,Basic,46.18
85,Laura Moreno,xrush@example.com,India,2020-04-22,Standard,15.07
86,Allison Lopez,redwards@example.org,Netherlands,2025-04-08,Premium,128.02
87,Michele Lewis,hmcintyre@example.com,Canada,2020-10-25,Basic,143.03
88,Benjamin Thompson,heather73@example.org,Germany,2024-02-19,Premium,87.75
89,Victoria Contreras,zosborn@example.net,Canada,2024-12-26,Standard,36.51
90,Michelle Ho,piercekelly@example.com,Japan,2022-05-18,Premium,65.93
91,Dr. Cynthia Snyder,laurahicks@example.org,Canada,2024-05-18,Premium,14.47
92,Stephen Jones,angela57@example.net,Germany,2022-03-11,Standard,81.51
93,Patricia Morrow,ukey@example.com,Canada,2020-02-07,Basic,24.56
94,Michael Cooper,martinezlogan@example.org,France,2024-05-01,Standard,43.75
95,Amy Martinez,katrinaanderson@example.net,Japan,2021-02-25,Standard,82.14
96,Travis Stone,kevinmartin@example.net,United Kingdom,2022-07-28,Standard,32.39
97,Denise Weber,meghan43@example.net,Japan,2022-08-23,Basic,33.18
98,Matthew Le,shawgary@example.net,Japan,2025-12-28,Basic,28.55
99,Travis Wise,megan90@example.org,Australia,2022-01-09,Standard,34.39
100,Kathleen Burton,debra96@example.net,France,2022-01-25,Standard,24.88
101,Melinda Evans,dawn47@example.org,United States,2021-04-25,Premium,35.76
102,Mr. Lawrence Edwards,barkereric@example.com,France,2023-05-30,Standard,14.00
103,Kayla Rodriguez,jessica56@example.org,United Kingdom,2023-08-24,Standard,43.30
104,Anthony Dougherty,stevenadams@example.org,Germany,2023-08-06,Standard,52.96
105,Michelle Lee,kwright@example.com,France,2021-07-04,Standard,67.10
106,Kathleen Davis,tyronerobertson@example.com,Brazil,2023-10-20,Basic,53.58
107,Amber Campbell,pwagner@example.org,United Kingdom,2022-03-07,Standard,110.24
108,Stephen Luna,amitchell@example.org,Brazil,2026-03-08,Standard,56.44
109,Chloe Tran,zdiaz@example.org,Australia,2020-04-12,Standard,53.90
110,William Becker,hughesshannon@example.net,Australia,2026-02-10,Basic,69.71
111,Gina Mcmillan,andersoncolin@example.com,United States,2020-11-11,Basic,87.83
112,Andrew Reeves,jameshicks@example.net,United States,2024-01-22,Premium,59.61
113,Brenda Velazquez,jstone@example.net,Netherlands,2022-07-26,Premium,37.20
114,Ronald Patel,francisco94@example.net,Japan,2025-07-15,Basic,80.19
115,Veronica Silva,thomas05@example.com,Japan,2023-05-02,Standard,57.80
116,Paula Lane,carlsonjoseph@example.net,Germany,2024-12-27,Standard,33.20
117,Patricia James,silvageorge@example.net,United States,2026-06-05,Premium,102.31
118,Jeremy Barnes,anthonyvaughan@example.org,United Kingdom,2024-10-23,Standard,104.87
119,Tami Salas,avaughn@example.net,France,2021-09-23,Premium,28.55
120,Matthew Fox,thorntonapril@example.net,Canada,2025-04-01,Standard,21.12
121,Megan Dillon,sue78@example.com,United Kingdom,2026-03-26,Standard,46.88
122,Courtney Dudley,chelsea33@example.com,United Kingdom,2021-09-15,Basic,17.09
123,Justin Michael,kellie37@example.com,United States,2025-09-10,Premium,89.59
124,Jennifer Reed,keith98@example.com,France,2024-11-04,Standard,63.79
125,Thomas Douglas,kellyroberts@example.net,France,2020-02-13,Premium,48.17
126,Melissa Taylor,ilewis@example.com,Japan,2023-02-17,Basic,73.39
127,David Garcia,johnsantiago@example.net,France,2025-05-21,Basic,46.65
128,Vanessa Moore,jennifer12@example.org,Germany,2024-06-25,Standard,36.73
129,Matthew Velez,mwoods@example.com,Brazil,2020-03-14,Standard,23.92
130,Taylor Gentry,pearsonjesse@example.net,Netherlands,2023-11-20,Standard,105.96
131,Jennifer Simpson DVM,robertmonroe@example.org,France,2025-08-01,Basic,35.15
132,Tanya Rogers,nancy04@example.net,United Kingdom,2020-03-13,Basic,42.19
133,Todd Rosales MD,ihays@example.net,Brazil,2026-01-04,Premium,43.97
134,David Lopez,lisarivera@example.net,Japan,2026-02-10,Basic,126.28
135,Margaret Sullivan,krystal93@example.org,Netherlands,2020-07-22,Premium,126.94
136,Cathy Taylor,frobertson@example.com,Netherlands,2024-11-20,Premium,64.53
137,Paul Finley,shari04@example.com,Japan,2024-06-26,Basic,33.60
138,Melissa Brown,brandi90@example.com,Japan,2021-06-13,Standard,45.02
139,Stephanie Padilla,marshallerik@example.net,Brazil,2021-12-29,Standard,63.78
140,Tyler Mendoza,hannah45@example.net,Germany,2020-10-31,Standard,130.67
141,Joshua Ruiz,madkins@example.com,United States,2025-01-13,Basic,36.04
142,Angela Griffin,kathleenbecker@example.net,India,2021-07-18,Standard,103.07
143,Stephanie Harris,christian91@example.org,Germany,2024-07-07,Premium,37.36
144,Daniel Aguilar,franklinbond@example.com,Netherlands,2025-05-29,Basic,41.02
145,Jose Bryant,nolansean@example.org,Germany,2020-01-14,Standard,59.63
146,Jennifer Velasquez,hansenemily@example.com,Netherlands,2026-04-15,Premium,42.94
147,Kimberly Brown,bethwilliams@example.com,Netherlands,2022-11-21,Standard,35.98
148,Randy Cannon,andersenthomas@example.com,United Kingdom,2024-07-04,Standard,87.46
149,Susan Bennett,ybrooks@example.com,France,2025-09-21,Standard,99.08
150,Jenna Anderson DVM,desireebailey@example.org,Brazil,2022-10-20,Standard,43.93
151,Kimberly Patel,avilatiffany@example.com,Brazil,2025-08-24,Basic,97.44
152,Shaun Cannon,johnreed@example.com,France,2020-08-29,Standard,31.35
153,Austin Wheeler,pachecorobert@example.org,Australia,2024-04-20,Basic,19.06
154,Andrew Gonzales,tharper@example.org,France,2020-07-13,Standard,16.91
155,Donna Cabrera,karenparsons@example.org,Australia,2021-01-05,Standard,88.64
156,Victoria Boyd,barbara53@example.com,Canada,2021-10-12,Standard,82.54
157,Sheryl Buck,dturner@example.net,Australia,2024-09-14,Standard,47.97
158,Megan Floyd,dpeters@example.com,India,2025-03-02,Premium,27.88
159,Paul Wells,heather62@example.com,Germany,2021-05-13,Standard,64.22
160,Kristina Faulkner,kevinzimmerman@example.com,Japan,2024-03-07,Standard,30.87
161,Tammy Boone,paulscott@example.com,United States,2021-09-25,Basic,48.78
162,Michael Morrison,nicholsmaria@example.org,Australia,2025-01-27,Basic,46.49
163,Claire Clark,lopezkathleen@example.net,United Kingdom,2020-04-21,Basic,80.08
164,Autumn Key,kevin03@example.org,Netherlands,2024-05-11,Standard,43.73
165,Jennifer Allen,srocha@example.net,United States,2024-01-24,Standard,39.84
166,Elizabeth Ward,kimberly67@example.net,India,2024-02-23,Standard,45.04
167,Ryan Rocha,zowens@example.net,United States,2021-03-22,Standard,155.66
168,Alexis Tran,lawrence09@example.org,Canada,2021-03-05,Basic,147.87
169,Kelly Sanchez,mphillips@example.com,Germany,2026-08-07,Basic,125.81
170,Robert Jackson,jonathan77@example.com,Canada,2022-12-17,Standard,22.09
171,Kelly Combs,iwhite@example.net,Netherlands,2024-12-31,Standard,75.20
172,Ryan Hall,landryelizabeth@example.org,Brazil,2025-05-04,Standard,25.76
173,Mark Peck,albertwagner@example.com,Australia,2022-10-21,Premium,150.87
174,Jennifer Smith,bhopkins@example.org,United States,2020-04-03,Basic,193.52
175,Megan Drake,amanda40@example.net,Brazil,2021-08-07,Standard,52.73
176,Manuel King,danieldavis@example.org,Australia,2020-06-01,Standard,42.07
177,Judy Sanchez,joseph61@example.com,Japan,2022-02-17,Standard,60.04
178,Shannon Malone,kevinclayton@example.org,Japan,2026-02-15,Basic,46.42
179,Adam Jackson,sullivannicholas@example.com,United Kingdom,2023-07-18,Standard,54.12
180,Shannon Davis,pbruce@example.com,United Kingdom,2024-01-04,Standard,40.26
181,Karen Williams,hallrachel@example.net,Brazil,2021-08-21,Basic,98.93
182,Amanda Mcfarland,cohenjuan@example.net,Japan,2022-10-17,Standard,75.68
183,Michelle Sanders,alexis39@example.org,Japan,2020-05-09,Basic,64.11
184,Jasmine Mosley,evansanne@example.net,India,2025-05-30,Basic,27.75
185,Haley Davis,patrick21@example.net,United States,2025-05-10,Standard,58.50
186,Jennifer Ayala,marypeterson@example.net,Japan,2026-05-03,Standard,64.56
187,Henry Pugh MD,walterskristen@example.com,United Kingdom,2024-04-07,Premium,46.51
188,Michelle Miller,nmiller@example.com,India,2024-11-20,Standard,117.18
189,Emily Rodriguez,normanbowers@example.org,Japan,2020-12-31,Basic,26.36
190,Brandon Jordan,hahnsean@example.com,France,2025-09-22,Standard,39.18
191,Linda Mueller,fgarcia@example.com,Brazil,2021-01-15,Basic,144.78
192,Misty Hansen,asmith@example.com,Australia,2025-05-20,Standard,70.88
193,Derrick Adams,ashleyjackson@example.com,Germany,2021-04-29,Standard,41.53
194,Richard Ward,bryanhamilton@example.com,Canada,2026-05-20,Standard,77.75
195,Brian Torres,jennifersimpson@example.net,Australia,2021-01-30,Standard,53.57
196,Erin Cook,ncook@example.com,Brazil,2024-01-03,Basic,46.29
197,Ernest Oconnell,kevinmorrison@example.net,France,2026-02-21,Standard,65.38
198,Douglas Hartman,kelly79@example.org,United States,2021-03-23,Standard,58.30
199,Catherine Saunders MD,daniel93@example.net,Germany,2025-03-06,Standard,48.58
200,Sandra Jones,nhahn@example.com,Brazil,2021-10-10,Standard,70.27
201,David Moore,ichambers@example.net,India,2022-04-11,Basic,180.97
202,Karen Morales DDS,emccormick@example.com,United Kingdom,2020-08-01,Standard,45.21
203,Robin Wheeler,ystephens@example.com,Netherlands,2021-11-19,Premium,134.81
204,Matthew Williams,rodriguezjohn@example.net,Japan,2025-05-12,Premium,52.79
205,Brett Walker,vrasmussen@example.com,Germany,2023-09-18,Basic,52.50
206,Kathryn Cooper,seanmyers@example.net,Netherlands,2023-06-04,Standard,39.96
207,Todd Thomas,webbkenneth@example.org,Brazil,2025-12-31,Standard,34.53
208,Brent Bowen,matthew38@example.com,Netherlands,2024-05-15,Standard,40.35
209,Ashley Sweeney,tflores@example.org,Germany,2025-08-12,Basic,151.45
210,Christopher Moore,byrdfrank@example.net,India,2026-07-28,Standard,54.50
211,Charlotte Sandoval,omullen@example.com,Canada,2025-02-21,Basic,52.39
212,Jeffrey Smith,njohnson@example.org,Germany,2025-12-29,Standard,58.11
213,Rebecca Herrera,jamiegoodwin@example.org,Australia,2020-09-01,Standard,95.77
214,Katherine Church,mark71@example.com,India,2023-11-14,Standard,30.76
215,Harold Ellis,candice96@example.net,United Kingdom,2022-04-20,Basic,64.29
216,Leslie Powers,lisamccarthy@example.com,Australia,2021-08-27,Basic,27.02
217,Charles Price,david41@example.org,Germany,2022-10-11,Premium,160.64
218,Melissa Brewer,baileyhenderson@example.com,Brazil,2024-10-03,Standard,72.51
219,Ryan Harvey,angelaburns@example.org,Netherlands,2025-11-25,Premium,117.23
220,Tracey Wagner,stephanie72@example.org,India,2026-05-29,Premium,64.18
221,Jill Jackson,fortiz@example.com,India,2025-10-17,Standard,51.23
222,Joshua Jackson,flynnjeffrey@example.org,Germany,2021-06-16,Basic,57.94
223,Ashley Wilson,xcunningham@example.com,United States,2023-09-06,Basic,19.41
224,Jeffery Fitzgerald,amber07@example.net,France,2026-03-01,Standard,57.79
225,Scott Miller,kennethkidd@example.com,Brazil,2023-08-24,Standard,12.07
226,Heather Page,rowejoel@example.net,Netherlands,2021-05-28,Standard,41.96
227,Renee Hudson,imartin@example.org,Brazil,2021-05-25,Standard,43.42
228,Kenneth Farley,candice25@example.net,Australia,2022-06-15,Premium,13.50
229,Wendy Camacho,taylorkaren@example.com,Canada,2024-02-23,Basic,203.57
230,Sandra Juarez,jacquelineanderson@example.org,Australia,2020-03-14,Standard,64.35
231,Jason Hayes,kburns@example.net,Canada,2023-07-31,Basic,74.00
232,Jackie Clements,powellkara@example.net,United States,2020-05-30,Basic,56.33
233,Heather Brown,brandi17@example.net,Japan,2023-01-22,Standard,57.64
234,Frank Campbell MD,brobinson@example.org,United States,2020-02-07,Basic,20.79
235,Pamela Williams,ashleewashington@example.com,Canada,2025-11-26,Basic,31.69
236,William Patterson,ksmith@example.com,Netherlands,2023-05-28,Premium,66.77
237,Isaac Miller,nicoleturner@example.com,France,2024-04-14,Basic,141.63
238,Cynthia Rios,brettgarrett@example.net,Netherlands,2024-05-03,Basic,35.75
239,Kelly Wallace,smiththomas@example.org,Brazil,2024-05-14,Standard,54.48
240,Karen Perez,dominguezlisa@example.com,Germany,2022-11-11,Standard,26.90
241,Edwin Reyes,crosscurtis@example.com,Japan,2020-02-19,Standard,29.80
242,Alejandra Santos,darlenebyrd@example.org,United States,2024-02-08,Standard,21.19
243,Tamara Jensen,nbell@example.net,Netherlands,2025-11-11,Standard,19.91
244,Bryce Blair,fheath@example.org,United States,2021-03-23,Standard,93.40
245,Bradley Tran,sylvia52@example.org,Australia,2025-08-17,Premium,70.44
246,Katrina Adkins,kimberly04@example.org,United States,2022-08-06,Standard,37.37
247,Jonathan Wheeler,debbie37@example.com,Canada,2021-08-29,Basic,71.69
248,Ryan Fisher,hatfieldsarah@example.org,Japan,2023-07-01,Premium,63.26
249,Austin Baker,kathrynbest@example.org,Netherlands,2020-08-01,Standard,40.89
250,Lori Mason,livingstonstacy@example.com,United Kingdom,2021-01-15,Basic,160.10
251,Kimberly Hernandez,zhenderson@example.org,United Kingdom,2025-07-22,Premium,42.46
252,Brittney Murphy,collinswilliam@example.org,Japan,2026-06-09,Premium,22.34
253,Brandon Hamilton,collinssamuel@example.org,Netherlands,2020-06-25,Standard,30.74
254,Mary Thompson,dsalazar@example.com,United Kingdom,2023-07-25,Standard,12.85
255,Gregory Holmes PhD,zimmermanjacqueline@example.org,United Kingdom,2024-09-02,Standard,39.27
256,Patricia Johnson,gary24@example.net,France,2026-06-25,Standard,55.10
257,Laura Jones,enelson@example.com,United States,2020-03-11,Basic,64.38
258,Carol Moore,ddixon@example.com,Netherlands,2025-03-21,Premium,167.51
259,Jordan Williams,shannonemily@example.org,France,2022-07-06,Standard,82.27
260,Cassidy Horne,sanchezthomas@example.com,Japan,2025-09-07,Basic,68.94
261,Courtney Wright,tranrobin@example.net,United Kingdom,2023-03-07,Basic,13.44
262,Michael Williams,joseph19@example.com,France,2021-10-17,Standard,23.18
263,John Campbell,lindajarvis@example.com,Canada,2025-11-12,Premium,36.89
264,Eddie Mueller,mark87@example.org,Canada,2023-10-24,Basic,21.66
265,Dr. Morgan Payne PhD,stevenvargas@example.com,France,2021-07-13,Premium,159.35
266,Makayla Steele,adamortiz@example.org,France,2022-08-12,Standard,73.74
267,Oscar Parker,tapiaaaron@example.net,Japan,2026-03-22,Premium,61.12
268,Valerie Thomas,alyssaallen@example.com,France,2021-03-23,Premium,54.21
269,Jacqueline Villegas,christopher38@example.com,Germany,2022-02-09,Basic,37.44
270,Angela Bradley,carpenterwilliam@example.net,France,2023-08-06,Premium,50.25
271,Samuel Howe,ibates@example.org,India,2026-08-06,Basic,35.53
272,Dillon Jones,vhaynes@example.com,Canada,2023-11-28,Standard,34.57
273,Christopher Owens,derekcarrillo@example.org,Brazil,2025-04-07,Standard,31.05
274,John Phelps,wmartinez@example.org,Netherlands,2020-04-11,Standard,60.41
275,Amanda Huff,mooregina@example.net,Canada,2022-08-19,Premium,83.40
276,Megan Green,eddie35@example.com,France,2020-10-11,Basic,51.79
277,Krista Davis,anthonysullivan@example.com,United Kingdom,2024-12-11,Standard,26.58
278,Richard Walker,laradonald@example.org,Canada,2022-08-31,Standard,55.98
279,Angela Willis,madisonwatson@example.net,Brazil,2025-01-26,Basic,142.35
280,Carl Stein,johnsoncaleb@example.net,Netherlands,2020-12-15,Standard,22.07
281,Jessica Ramsey,david70@example.org,Canada,2022-08-13,Premium,67.03
282,Daniel Lopez,rjohnson@example.com,Japan,2025-11-17,Standard,85.14
283,Danielle Phillips,sean20@example.net,United Kingdom,2022-05-13,Standard,22.86
284,James Barnes,eandrade@example.org,Brazil,2026-03-17,Basic,167.49
285,Rachael Howard DDS,crystalpham@example.org,Germany,2022-10-15,Basic,51.49
286,Devin Johnson,kcooper@example.net,India,2023-06-06,Standard,76.99
287,William Moreno,anthonycochran@example.com,Netherlands,2020-11-14,Standard,41.20
288,Joseph Moody,terrigarcia@example.net,United States,2025-06-01,Basic,57.46
289,Rebecca Kelly,gallagherstacie@example.net,Netherlands,2023-11-24,Basic,49.64
290,Suzanne Johnson,gregorywatkins@example.net,United Kingdom,2020-11-21,Standard,33.58
291,Sara Cochran,stacey92@example.net,Germany,2020-02-15,Basic,132.87
292,Anthony Guzman,lweaver@example.com,United Kingdom,2020-09-12,Basic,90.51
293,Carlos Love,foxaaron@example.net,Brazil,2020-12-09,Standard,20.50
294,Patricia Mathis,brian29@example.net,Netherlands,2021-04-11,Basic,83.46
295,Eric Taylor,susan56@example.net,Canada,2024-07-04,Premium,15.18
296,Marie Thompson,jessicakim@example.net,Germany,2026-01-13,Basic,33.15
297,Michael Anderson,jeffrey92@example.com,Canada,2026-06-09,Premium,15.20
298,Patricia Bradley,rushstacy@example.com,United States,2021-12-24,Basic,37.33
299,Keith Zuniga,carriemccall@example.net,India,2020-04-16,Standard,63.53
300,Mrs. Stacey Davis,markmiller@example.com,France,2022-06-03,Standard,47.21
301,Hayley Buchanan,sean43@example.org,United States,2024-08-06,Premium,17.40
302,Stacey Snyder,williamssamuel@example.com,United Kingdom,2022-12-17,Basic,50.11
303,Rachel Lane,ybell@example.org,Canada,2020-05-31,Premium,31.69
304,Fernando Lynn,franciscojones@example.org,United States,2024-05-08,Standard,19.02
305,Kimberly Villanueva,petersonpamela@example.org,Japan,2026-01-30,Basic,28.15
306,Jessica Valdez,morgantricia@example.com,Australia,2025-03-12,Premium,52.52
307,Colton Terry,gmoore@example.com,France,2024-10-02,Basic,214.43
308,Kenneth Larsen,donna43@example.org,France,2026-03-12,Standard,28.73
309,Matthew Greene,briansmith@example.org,United Kingdom,2021-05-26,Standard,104.08
310,Bradley Anthony,collinclark@example.net,India,2024-07-19,Standard,124.33
311,Martin Hughes,kristen77@example.net,Japan,2025-07-06,Premium,23.26
312,Jeremiah Baker,nicole52@example.com,France,2021-04-25,Premium,19.90
313,Rhonda Gutierrez,anne21@example.org,India,2020-05-15,Basic,36.58
314,Crystal Brown,,Brazil,2026-06-15,Standard,35.47
315,Taylor Armstrong,acardenas@example.net,United Kingdom,2023-04-18,Standard,75.17
316,Kenneth Black,thomasmiller@example.net,Germany,2024-05-30,Basic,46.12
317,Carol Lewis,davidtodd@example.org,Brazil,2020-09-20,Standard,38.91
318,Zachary Burton,davidhenderson@example.net,Germany,2021-01-13,Basic,26.65
319,Kristen Gates,luis11@example.com,United States,2022-05-03,Basic,100.48
320,Kelly Barnes,astark@example.net,United States,2022-03-28,Basic,65.55
321,Traci Garcia,khernandez@example.net,Australia,2024-03-29,Standard,57.77
322,Sheryl Humphrey,hartcraig@example.com,India,2025-06-10,Premium,68.68
323,Christopher Powell,patrick79@example.net,Canada,2021-12-07,Standard,63.42
324,Patrick Mccall,vwilliams@example.net,Australia,2022-09-17,Standard,83.72
325,Alicia Roth,,France,2023-01-14,Basic,94.02
326,William Ramos,larry71@example.org,Netherlands,2024-03-29,Standard,34.12
327,Jeremy Mcintyre,joseph69@example.net,Japan,2026-06-09,Basic,12.02
328,Samantha Robertson,wfigueroa@example.net,Germany,2022-02-21,Basic,46.17
329,Samuel Suarez,cameronmckinney@example.com,Germany,2024-07-06,Basic,40.94
330,Danielle Bryant,thompsonnancy@example.org,Netherlands,2025-06-18,Basic,27.31
331,Madison Martinez,janet45@example.com,Netherlands,2025-06-03,Basic,41.83
332,Seth Matthews,allentracy@example.com,United Kingdom,2021-11-20,Basic,51.50
333,Anthony Nash,max41@example.com,United Kingdom,2022-11-17,Standard,108.55
334,Matthew Palmer,mercedesholland@example.net,United Kingdom,2020-01-30,Standard,14.99
335,Alejandra King,wellsdavid@example.org,United States,2023-01-19,Premium,66.44
336,Judy Robinson,jennifer46@example.com,Canada,2020-05-24,Premium,34.83
337,Jorge Bates,erica96@example.net,Brazil,2025-12-15,Standard,41.95
338,Brian Brown,anna99@example.com,Japan,2025-02-20,Basic,76.97
339,Stephanie Evans,danielle44@example.net,Brazil,2023-09-27,Standard,18.08
340,Rebekah Greene,zacharyallen@example.org,Netherlands,2024-02-11,Standard,41.51
341,Jason Price,erin07@example.com,Canada,2021-10-26,Basic,14.32
342,Micheal Parks,aguilarwanda@example.org,Brazil,2020-04-16,Standard,35.45
343,Sarah Pittman,qknox@example.com,United States,2023-12-24,Premium,89.50
344,Robert Hines,kellyruiz@example.net,United States,2023-02-24,Standard,101.28
345,Henry Garner,staceylam@example.net,France,2025-07-07,Standard,218.53
346,Julie Wilson,robert55@example.com,Canada,2020-02-24,Premium,67.19
347,Steve Mason,delacruzbrandy@example.net,United Kingdom,2023-07-17,Premium,96.02
348,Brittany Gay,amoreno@example.org,India,2023-09-13,Standard,78.38
349,Mike Maxwell,robert97@example.org,Brazil,2024-05-10,Standard,55.20
350,Abigail Hill,lcook@example.com,Germany,2020-04-30,Standard,85.13
351,Jeffrey Jordan,barbaramoore@example.org,United Kingdom,2025-02-24,Premium,70.56
352,Curtis Watson,ysanford@example.org,United Kingdom,2025-10-23,Basic,12.59
353,Michael Sims,mcclainkatherine@example.net,United States,2023-01-03,Standard,31.47
